Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Cadência de corrida média,Cadência de corrida máxima,Velocidade média,Velocidade máxima,Ganho de elevação,Perda da elevação,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de repetições,Total de conjuntos,Tempo de escalada,Tempo no fundo,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração,Elevação mínima,Elevação máxima
Treino de força,2021-07-19 06:49:42,false,"Força","0,00","170","00:36:12","107","152","1,1","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","166","20","36:12","0:00","0,0","0:00","Não","36:12.03","1","0,0","00:18:51","00:36:12","--","--"
Ciclismo,2021-07-18 08:38:18,false,"Blumenau Ciclismo","18,04","636","02:03:44","116","163","2,2","--","--","8,7","24,6","142","145","0,00","0,0","0,0","0,0","0,0","0,0","--","--","2:03:44","0:00","0,0","0:00","Não","12:25.05","4","0,0","01:29:55","02:03:44","3","41"
Corrida,2021-07-17 07:12:56,false,"Pomerode Corrida","6,05","602","00:49:39","176","218","4,6","113","243","8:13","4:08","293","294","1,01","0,0","0,0","0,0","0,0","0,0","--","--","49:39","0:00","0,0","0:00","Não","00:30.41","8","0,0","00:42:10","00:49:39","84","380"
Treino de força,2021-07-13 06:56:10,false,"Força","0,00","219","00:37:39","117","160","1,7","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","159","20","37:39","0:00","0,0","0:00","Não","37:38.93","1","0,0","00:18:40","00:37:39","--","--"
Corrida,2021-07-12 06:40:44,false,"Blumenau Corrida","5,91","396","00:40:01","153","189","3,2","137","181","6:46","3:52","36","36","1,06","0,0","0,0","0,0","0,0","0,0","--","--","40:01","0:00","0,0","0:00","Não","00:01.43","8","0,0","00:39:11","00:40:47","11","21"
Corrida,2021-07-10 07:48:19,false,"Blumenau Corrida","16,01","1.233","01:44:30","174","206","5,0","150","247","6:32","5:25","305","307","1,02","0,0","0,0","0,0","0,0","0,0","--","--","1:44:30","0:00","0,0","0:00","Não","00:03.65","17","0,0","01:44:25","01:44:30","17","125"
Treino de força,2021-07-09 07:01:28,false,"Força","0,00","333","00:53:49","125","168","2,2","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","265","24","53:49","0:00","0,0","0:00","Não","53:48.75","1","0,0","00:29:18","00:53:49","--","--"
Corrida,2021-07-08 17:49:32,false,"Blumenau - 10k - 90 a 95%","10,01","744","01:01:52","172","188","5,0","160","168","6:11","5:04","64","78","1,01","0,0","0,0","0,0","0,0","0,0","--","--","1:01:52","0:00","0,0","0:00","Não","00:05.04","11","0,0","01:01:43","01:01:52","9","49"
Corrida,2021-07-03 08:08:16,false,"Blumenau Corrida","14,12","1.047","01:30:02","170","201","5,0","153","244","6:23","5:32","175","177","1,03","0,0","0,0","0,0","0,0","0,0","--","--","1:30:02","0:00","0,0","0:00","Não","00:36.10","15","0,0","01:29:59","01:30:02","15","64"
Treino de força,2021-07-02 07:02:14,false,"Força","0,00","280","00:49:59","119","168","2,1","--","--","--","--","--","--","0,00","0,0","0,0","0,0","0,0","0,0","236","24","49:59","0:00","0,0","0:00","Não","49:58.81","1","0,0","00:26:15","00:49:59","--","--"
